年份／名稱,論文題目,類別,子分類,
,兒童美感教育之動態圖像創作研究,創作,動態影像／動畫,
,響應式程式語言學習網站之創作研究,創作,AR／互動／數位,
,由動態插畫設計探討手機成癮之問題,創作,動態影像／動畫,
,幾何造形構成視覺動態錯視之研究,理論,文化符號與視覺研究,
,幾何學抽象藝術風格探討,理論,文化符號與視覺研究,
,臺灣販賣手工具品牌的包裝平面設計之研究,理論,其他研究,
,臺灣中部地區咖啡廳空間設計元素之研究,理論,其他研究,
,資訊圖表之識認性評估-以客家文化「打粢粑」為例,理論,文化符號與視覺研究,
,廣告圖像與造型的符號學研究—以法國珠寶品牌Chaumet 為例,理論,文化符號與視覺研究,
,藝術背景與非藝術背景對於藝文類展覽票券形式之偏好,理論,其他研究,
,探討不同數位學習形態下的學習滿意度,理論,教育場域研究,
,擴增實境於數位學習之應用類型分析,理論,教育場域研究,
,導入擴增實境功能於說明書設計功能性與使用性初探,理論,其他研究,
,VR 線上展示與電子商務現況研究,理論,其他研究,
,光跡造形的色彩語意——以鐘擺攝影為例,理論,文化符號與視覺研究,
,設計史創新教學之類型分析,理論,教育場域研究,
,電致發光應用於光造形工作坊實施成效之研究 ─以108課綱之多媒體動畫科多元選修課程為例,理論,教育場域研究,
,複合式藝文空間類型網站設計之評鑑指標探究,理論,使用者經驗與介面設計研究,
,戲曲觀演空間情境演變：以臺灣歌仔戲為例,理論,其他研究,
2019,《兇手不只有一個》——以編導式攝影進行霸凌議題之創作研究,創作,攝影創作,
,《光構築》觀念攝影影像創作研究,創作,動態影像／動畫,
,《花言鳥語》一長沙窯紋飾及詩文風格表現在生活文創的創作研究,創作,其他創作,
,《臺灣也瘋狂》超現實主義風格隱喻手法表現臺灣公共議題之3D數位影像創作研究,創作,動態影像／動畫,
,資訊圖像應用於「未來食物」之研究創作,創作,資訊圖像,
,珊太子寶石紅珊瑚數位典藏網站設計之研究創作,創作,AR／互動／數位,
,漢字表現之動態海報創作研究,創作,動態影像／動畫,
,臺灣茶茶包製品的包裝材質與設計手法研究,理論,其他研究,
,節慶伴手禮包裝視覺設計互動性之研究-以中秋節為例,理論,使用者經驗與介面設計研究,
,臺灣出版設計大獎金蝶獎之書籍設計趨勢研究,理論,其他研究,
,4A 獲獎作品廣告效益之表現手法差異分析,理論,其他研究,
,數位教材之學習滿意度研究,理論,教育場域研究,
,Kindle 電子書閱讀器介面使用性研究,理論,使用者經驗與介面設計研究,
,電商比價平臺 APP介面設計與使用性評估之研究,理論,使用者經驗與介面設計研究,
,獨立刊物「Zine」之研究,理論,其他研究,
,觸控筆筆頭造形與視覺認知之研究,理論,文化符號與視覺研究,
,《動畫劇本創作》課程教學之文獻評析,理論,教育場域研究,
,以品牌策略思維開發桌遊設計分析,理論,其他研究,
